out:Speech Transmission Index_1,out:Speech Transmission Index_2,out:Speech Transmission Index_3
0.617834,0.664776,0.673842
0.620851,0.667876,0.676972
0.619842,0.666538,0.675792
0.610566,0.658748,0.66776
0.585874,0.637812,0.646578
0.585495,0.636303,0.644964
0.585506,0.636378,0.645062
0.597279,0.647104,0.655951
0.602993,0.653174,0.662185
0.603615,0.652401,0.661449
0.604047,0.653679,0.662522
0.601663,0.650072,0.659208
0.57846,0.631914,0.640425
0.578238,0.631066,0.639486
0.582475,0.634907,0.643382
0.589131,0.641746,0.650466
0.586468,0.637515,0.646287
0.587807,0.639089,0.647766
0.590389,0.641051,0.649934
0.589454,0.640557,0.649398
0.56747,0.62256,0.630866
0.574,0.628119,0.636418
0.581814,0.635557,0.644241
0.571966,0.62591,0.634242
0.574842,0.628148,0.636627
0.579077,0.631865,0.640574
0.574853,0.62835,0.636804
0.5814,0.634355,0.643073
0.563245,0.621723,0.629429
0.571675,0.62744,0.63567
0.570952,0.62672,0.635004
0.573725,0.629822,0.638039
0.572299,0.625873,0.634284
0.575225,0.62918,0.637742
0.581163,0.634429,0.643202
0.58066,0.63587,0.644383
0.57224,0.627907,0.636321
0.576717,0.63196,0.640319
0.583598,0.639719,0.648205
0.579591,0.634308,0.642896
0.56693,0.621763,0.630062
0.567331,0.623867,0.631925
0.572387,0.627774,0.636214
0.584583,0.638718,0.647509
0.572111,0.629001,0.637152
0.572669,0.627988,0.636407
0.5735,0.629186,0.637682
0.580881,0.63649,0.645088
0.578057,0.634132,0.64261
0.571394,0.627243,0.635364
0.582862,0.637513,0.646142
0.574081,0.6293,0.637541
0.573666,0.631882,0.639804
0.575491,0.632228,0.640563
0.574715,0.63211,0.640305
0.571838,0.629557,0.637599
0.569063,0.627004,0.635316
0.575806,0.632984,0.64108
0.575297,0.630997,0.639243
0.569529,0.626678,0.634611
0.573096,0.629457,0.637887
0.562189,0.6207,0.628578
0.573867,0.630508,0.638676
0.565939,0.62253,0.630837
0.574014,0.631861,0.640138
0.574119,0.630181,0.638386
0.574014,0.632597,0.640786
0.573786,0.630689,0.639023
0.57463,0.633494,0.641454
0.565165,0.623796,0.631629
0.573189,0.632455,0.640304
0.579076,0.636457,0.644599
0.571995,0.628946,0.636883
0.574522,0.631406,0.639642
0.572859,0.629327,0.637526
0.58563,0.642281,0.65062
0.5889,0.640325,0.649109
0.593499,0.643187,0.652039
0.606124,0.654308,0.663529
0.628731,0.674574,0.683945
0.669198,0.710589,0.720244
0.746477,0.780571,0.791403
0.825725,0.849203,0.862095
0.752711,0.786019,0.797116
0.586144,0.637162,0.645849
0.593979,0.643871,0.652831
0.607166,0.656601,0.665656
0.624035,0.66982,0.679262
0.652023,0.694402,0.703933
0.707836,0.745125,0.755465
0.748361,0.781892,0.792985
0.711829,0.748588,0.758965
0.588824,0.640265,0.649112
0.591003,0.642176,0.650999
0.59753,0.646691,0.655556
0.61002,0.658183,0.667272
0.633466,0.679463,0.68878
0.644361,0.686545,0.695872
0.667589,0.709067,0.718763
0.658969,0.700316,0.710128
0.585575,0.638325,0.646905
0.587177,0.63867,0.647376
0.592506,0.643077,0.652014
0.593178,0.641889,0.650834
0.602153,0.649928,0.658746
0.615017,0.661483,0.670571
0.620367,0.665871,0.675025
0.629015,0.67419,0.683527
0.585953,0.638502,0.647144
0.584236,0.635036,0.643859
0.59172,0.643612,0.65243
0.592372,0.642996,0.651804
0.599206,0.649848,0.658735
0.598485,0.647462,0.656524
0.606589,0.65488,0.663732
0.603163,0.65086,0.659795
0.581262,0.634471,0.643195
0.586379,0.638835,0.647534
0.581873,0.634666,0.643281
0.582526,0.634266,0.64296
0.598514,0.64957,0.658312
0.597119,0.647125,0.656228
0.593404,0.642894,0.651795
0.597462,0.64801,0.656982
0.570016,0.625608,0.633802
0.569203,0.623686,0.632041
0.570762,0.624814,0.633217
0.576003,0.629768,0.638294
0.56791,0.620897,0.629192
0.592238,0.64492,0.653797
0.583166,0.635964,0.644655
0.5833,0.635246,0.643849
0.571011,0.628263,0.636273
0.573147,0.629207,0.637538
0.576109,0.631938,0.640052
0.568502,0.623059,0.6312
0.57212,0.626779,0.635082
0.563202,0.619673,0.627546
0.579454,0.633479,0.64186
0.57889,0.633447,0.641916
0.57669,0.633587,0.641833
0.569706,0.626365,0.63455
0.577527,0.633747,0.64223
0.570218,0.626471,0.63468
0.577199,0.633107,0.64134
0.576752,0.63091,0.63927
0.581817,0.636819,0.645524
0.577938,0.632963,0.64156
0.57208,0.628562,0.63658
0.568422,0.62528,0.633345
0.577938,0.634869,0.643165
0.57636,0.632345,0.64064
0.569665,0.626441,0.634647
0.586026,0.642119,0.65048
0.578632,0.633798,0.642075
0.567936,0.62395,0.632195
0.585174,0.641073,0.649544
0.567744,0.626185,0.634069
0.572807,0.629439,0.637606
0.571271,0.627173,0.635545
0.575075,0.631396,0.639677
